sample	n_transcripts	NFLR_threshold	sd
NFLR_mean	326	0	0
NFLR_mean	163	0.01	24.9804617819459
NFLR_mean	99	0.02	24.9804617819459
NFLR_mean	76	0.03	20.4300840846073
NFLR_mean	62	0.04	16.3693152207594
NFLR_mean	54	0.05	16.2058240764595
NFLR_mean	48	0.06	13.9216462132148
NFLR_mean	43	0.07	13.7761002766955
NFLR_mean	41	0.08	13.7345283445699
NFLR_mean	38	0.09	13.943418480377
NFLR_mean	35	0.1	12.001214969314
NFLR_mean	34	0.12	11.5908189497564
NFLR_mean	33	0.13	9.60133495933886
NFLR_mean	31	0.14	9.79723304045245
NFLR_mean	30	0.16	9.96123353515834
NFLR_mean	28	0.17	10.1467188426453
NFLR_mean	26	0.19	10.4777757078391
NFLR_mean	25	0.22	7.52468672996214
NFLR_mean	23	0.25	5.86112393884126
NFLR_mean	23	0.26	3.69700582398634
NFLR_mean	22	0.36	4.37380343319881
NFLR_mean	20	0.38	4.38160190767973
NFLR_mean	18	0.48	3.42829411938212
NFLR_mean	18	0.6	2.93031926272681
NFLR_mean	17	0.66	2.42907940226992
NFLR_mean	15	0.84	2.30729562188528
NFLR_mean	14	0.92	2.35655316436967
NFLR_mean	13	0.97	2.3444495755365
NFLR_mean	12	1.11	2.3299949022832
NFLR_mean	12	1.13	2.32326963401122
NFLR_mean	10	1.15	2.25617534098628
NFLR_mean	10	2.44	1.35278018345593
NFLR_mean	9	2.95	1.22358287409829
NFLR_mean	8	3.67	1.30977287292983
NFLR_mean	7	3.81	1.28482775550214
NFLR_mean	6	4.58	1.17948321494566
NFLR_mean	5	5.32	0.966361685674219
NFLR_mean	3	8.19	0.653799487273455
NFLR_mean	2	10.96	0.556865848528591
NFLR_mean	1	17.67	0.557504090398278
NFLR_mean	1	24.68	0.21320071635561
